Stock,Date,40 Percent Rule,Net Income Growth,ROE,ROA,Positive Cash Flow,Cash Flow Margin,PER,Capital ratio,profit loss
CONTROLPR.NS,2023-03-31,True,True,True,True,True,False,False,True,True
CORALFINAC.NS,2023-03-31,True,True,True,True,True,True,True,True,True
CORDSCABLE.NS,2023-03-31,False,False,False,False,True,False,True,True,True
COROMANDEL.NS,2023-03-31,True,True,True,True,True,False,True,True,True
CCHHL.NS,2023-03-31,False,True,False,False,False,False,True,True,True
COUNCODOS.NS,2023-03-31,False,False,False,False,False,False,False,True,True
CREATIVEYE.NS,2023-03-31,False,False,False,False,False,False,True,True,False
CREATIVE.NS,2023-03-31,True,True,True,True,False,False,False,True,True
CREDITACC.NS,2023-03-31,True,False,True,False,False,False,False,False,True
CREST.NS,2023-03-31,True,False,True,True,False,False,True,True,True
CRISIL.NS,2022-12-31,True,True,True,True,True,True,False,True,True
CROMPTON.NS,2023-03-31,False,False,True,True,True,False,False,True,True
CROWN.NS,2023-03-31,False,False,True,True,True,False,True,True,True
CSBBANK.NS,2023-03-31,False,True,True,False,True,True,True,False,True
CUBEXTUB.NS,2023-03-31,True,True,False,False,True,False,False,True,False
CUMMINSIND.NS,2023-03-31,True,False,True,True,True,False,False,True,True
CUPID.NS,2023-03-31,True,False,True,True,True,True,True,True,True
CYBERTECH.NS,2023-03-31,False,False,True,True,True,True,False,True,False
CYIENT.NS,2023-03-31,False,False,True,True,True,False,False,True,True
DBREALTY.NS,2023-03-31,False,False,False,False,True,True,True,False,True
DPWIRES.NS,2023-03-31,True,True,True,True,True,False,False,True,True
DPABHUSHAN.NS,2023-03-31,False,True,True,True,True,False,False,True,True
DBCORP.NS,2023-03-31,False,False,False,True,True,True,True,True,True
DABUR.NS,2023-03-31,False,False,True,True,True,False,False,True,True
DALBHARAT.NS,2023-03-31,False,False,False,False,True,False,False,True,False
DALMIASUG.NS,2023-03-31,False,False,False,True,True,True,True,True,False
DAMODARIND.NS,2023-03-31,False,False,False,False,True,False,False,False,True
DANGEE.NS,2023-03-31,False,False,False,False,True,True,True,True,False
DATAMATICS.NS,2023-03-31,True,True,True,True,True,False,True,True,True
DBSTOCKBRO.NS,2023-03-31,False,False,True,True,True,True,True,True,True
DCI.NS,2023-03-31,True,True,True,True,False,False,False,False,False
DCBBANK.NS,2023-03-31,True,False,True,False,False,False,True,False,True
DCM.NS,2023-03-31,False,False,True,False,True,True,False,False,True
DCMNVL.NS,2023-03-31,False,False,False,False,True,False,False,True,False
DCMSHRIRAM.NS,2023-03-31,False,False,True,True,True,False,True,True,True
DCW.NS,2023-03-31,True,True,True,True,True,False,True,True,True
DENORA.NS,2023-03-31,False,False,True,True,True,True,False,True,True
DECCANCE.NS,2023-03-31,False,False,False,False,True,False,True,True,True
DEEPAKFERT.NS,2023-03-31,True,True,True,True,True,False,True,True,False
DEEPAKNTR.NS,2023-03-31,False,False,True,True,True,False,False,True,True
DELTACORP.NS,2023-03-31,True,False,True,True,True,False,False,True,False
DELTAMAGNT.NS,2023-03-31,False,False,False,False,False,False,True,True,True
DEN.NS,2023-03-31,False,False,False,True,True,False,True,True,True
DEVIT.NS,2023-03-31,True,False,True,True,False,False,False,True,True
DHAMPURSUG.NS,2023-03-31,True,False,True,True,True,False,True,True,True
DHANBANK.NS,2023-03-31,True,False,False,False,True,True,True,False,True
DHANUKA.NS,2023-03-31,False,False,True,True,True,False,True,True,True
DHARSUGAR.NS,2023-03-31,False,False,True,False,False,False,True,False,False
DHUNINV.NS,2023-03-31,True,True,False,True,True,False,True,True,False
DTIL.NS,2023-03-31,False,False,False,False,True,False,True,True,False
DVL.NS,2023-03-31,True,True,True,True,True,False,True,True,True
DICIND.NS,2022-12-31,True,False,False,True,True,False,True,True,False
DGCONTENT.NS,2023-03-31,False,False,True,False,True,False,True,False,False
DIGISPICE.NS,2023-03-31,False,False,False,False,True,False,True,True,True
DIGJAMLTD.NS,2023-03-31,False,False,False,False,True,True,True,False,False
DNAMEDIA.NS,2023-03-31,True,True,False,True,True,True,True,False,True
DBL.NS,2023-03-31,False,False,False,False,True,False,False,False,True
DISHTV.NS,2023-03-31,False,False,True,False,True,True,True,False,True
DCAL.NS,2023-03-31,False,False,False,False,True,False,True,True,True
DIVISLAB.NS,2023-03-31,False,False,True,True,True,True,False,True,True
DIXON.NS,2023-03-31,True,True,True,True,True,False,False,False,True
DLF.NS,2023-03-31,False,True,False,False,True,True,False,True,True
DLINKINDIA.NS,2023-03-31,True,False,True,True,True,False,True,True,True
DOLLAR.NS,2023-03-31,False,False,False,False,True,False,False,True,True
DONEAR.NS,2023-03-31,True,False,True,True,True,False,True,False,False
DPSCLTD.NS,2023-03-31,False,False,False,False,True,False,False,True,True
DQE.NS,2023-03-31,True,False,False,False,False,False,False,False,True
LALPATHLAB.NS,2023-03-31,False,False,True,True,True,True,False,True,True
DRREDDY.NS,2023-03-31,True,False,True,True,True,True,False,True,True
DREDGECORP.NS,2023-03-31,True,False,False,False,True,False,False,True,True
DUCON.NS,2023-03-31,False,False,False,False,True,False,False,True,False
DWARKESH.NS,2023-03-31,False,False,True,True,True,True,False,True,False
DSSL.NS,2023-03-31,True,True,True,True,True,False,True,False,True
DYNAMATECH.NS,2023-03-31,True,False,False,False,True,False,False,True,True
DYNPRO.NS,2023-03-31,False,False,False,False,True,False,True,True,False
E2E.NS,2023-03-31,True,True,True,True,True,True,False,True,True
