Stock,Date,40 Percent Rule,Net Income Growth,ROE,ROA,Positive Cash Flow,Cash Flow Margin,PER,Capital ratio,profit loss
MORA.JK,2022-12-31,False,False,False,False,True,True,False,True,True
DWGL.JK,2022-12-31,False,False,False,False,True,False,False,False,False
PBID.JK,2022-12-31,False,False,True,True,True,False,True,True,True
INPS.JK,2022-12-31,False,False,False,False,True,False,True,False,False
TDPM.JK,2022-12-31,False,False,False,False,True,True,False,False,True
DFAM.JK,2022-12-31,False,False,False,False,False,False,True,False,False
BTPS.JK,2022-12-31,False,False,True,True,True,True,True,True,False
SPTO.JK,2022-12-31,False,False,False,True,True,False,True,True,False
PRIM.JK,2022-12-31,False,False,False,False,False,False,False,True,False
HEAL.JK,2022-12-31,False,False,False,False,False,False,False,True,False
PZZA.JK,2022-12-31,False,False,False,False,False,False,True,True,False
TUGU.JK,2022-12-31,False,False,False,False,True,True,True,True,True
MSIN.JK,2022-12-31,True,False,True,True,True,False,False,True,False
MAPA.JK,2022-12-31,True,False,True,True,True,True,True,True,True
TCPI.JK,2022-12-31,True,False,False,False,True,False,False,True,False
IPCC.JK,2022-12-31,True,False,True,True,True,True,True,True,True
RISE.JK,2022-12-31,False,False,False,False,True,False,False,True,False
POLL.JK,2022-12-31,False,False,True,True,True,True,True,True,False
NFCX.JK,2022-12-31,False,False,False,False,False,False,False,True,True
MGRO.JK,2022-12-31,False,False,False,False,False,False,True,False,False
FILM.JK,2022-12-31,True,False,True,True,True,True,False,True,True
ANDI.JK,2022-12-31,True,False,False,False,True,False,True,True,True
LAND.JK,2022-12-31,False,False,False,False,False,False,True,True,True
MOLI.JK,2022-12-31,False,False,False,False,True,False,False,True,False
CITY.JK,2022-12-31,False,False,False,False,False,False,True,True,False
SURE.JK,2022-12-31,False,False,False,False,False,False,True,True,True
MPRO.JK,2022-12-31,False,False,False,False,False,False,True,True,True
GOOD.JK,2022-12-31,False,False,True,True,True,False,False,True,False
SKRN.JK,2022-12-31,True,False,True,True,True,True,False,True,False
DEAL.JK,2022-12-31,False,False,True,False,False,False,True,False,True
POLA.JK,2022-12-31,False,False,False,False,False,False,False,True,False
DIVA.JK,2022-12-31,False,False,False,False,True,False,False,True,False
URBN.JK,2022-12-31,False,False,False,False,False,False,False,True,False
PEHA.JK,2022-12-31,True,False,False,False,True,True,False,True,False
BEEF.JK,2022-12-31,False,False,True,False,False,False,True,False,True
POLI.JK,2022-12-31,True,False,False,True,True,True,True,True,True
CLAY.JK,2022-12-31,True,False,True,False,True,True,True,False,False
NATO.JK,2022-12-31,True,False,False,False,False,False,True,True,False
JAYA.JK,2022-12-31,False,False,False,False,False,False,False,True,True
MTPS.JK,2022-12-31,False,False,False,False,True,True,True,True,False
HRME.JK,2022-12-31,False,False,False,False,True,True,True,True,True
POSA.JK,2022-12-31,False,False,True,False,True,True,True,False,True
BOLA.JK,2022-12-31,False,False,False,False,False,False,False,True,False
SFAN.JK,2022-12-31,True,False,False,False,True,True,True,True,False
POLU.JK,2022-12-31,False,False,False,False,False,False,True,True,False
IPTV.JK,2022-12-31,False,False,False,False,True,True,True,True,False
ENVY.JK,2022-12-31,True,False,True,False,False,False,False,False,True
LIFE.JK,2022-12-31,True,False,False,False,False,False,False,True,False
FUJI.JK,2022-12-31,False,False,False,True,True,True,False,True,True
KOTA.JK,2022-12-31,True,False,False,False,True,True,True,True,True
ARKA.JK,2022-12-31,True,False,False,False,False,False,False,False,True
KEEN.JK,2022-12-31,True,False,False,False,True,True,False,True,True
TFAS.JK,2022-12-31,False,False,False,False,True,False,False,True,True
GGRP.JK,2022-12-31,False,False,False,False,True,False,False,True,False
SLIS.JK,2022-12-31,True,False,True,True,False,False,True,True,False
IRRA.JK,2022-12-31,False,False,False,True,False,False,False,True,False
DMMX.JK,2022-12-31,False,False,False,False,False,False,False,True,False
