Stock,Date,Sector,40 Percent Rule,Net Income Growth,ROE,ROA,Positive Cash Flow,Cash Flow Margin,PER,Capital ratio,PBR,ROE_increase,Asset,Oper_over_Invest,Net Income Sign,Total Revenue,profit loss
1730.T,2023-03-31,Industrials,-0.6663802736695128,"[-17696000.0, -52066000.0, 153618000.0, 39813000.0]",-0.012682031877078316,-0.005704195433162341,232829000.0,0.03163104965870436,-78.37837837837839,0.4497856091555947,0.9950980392156863,0.02420632674470584,68210000.0,352668000.0,"[-17696000.0, -52066000.0, 153618000.0, 39813000.0]","[3572123000.0, 3594613000.0, 4623870000.0, 4030373000.0]",0.7389162561576355
1736.T,2023-03-31,Industrials,-0.04811621622626671,"[1246207000.0, 1349816000.0, 1326390000.0, 1620276000.0]",0.06743730846670057,0.04397459664420171,779632000.0,0.007644377484035318,8.975540291506116,0.652081134968719,0.6610085376278533,-0.008126646218752101,-1040493000.0,1757659000.0,"[1246207000.0, 1349816000.0, 1326390000.0, 1620276000.0]","[26138165000.0, 25410370000.0, 23458243000.0, 27225613000.0]",16.518898740083994
1739.T,2023-06-30,Consumer Cyclical,0.003362237679651159,"[1103989000.0, 1271949000.0, 1247989000.0, 900009000.0]",0.12935338830750887,0.0379961903621221,2736043000.0,0.07629380615010117,4.327691713986439,0.2937394285474349,0.5936611052747884,-0.03974426538176626,1346471000.0,1939270000.0,"[1103989000.0, 1271949000.0, 1247989000.0, 900009000.0]","[35745038000.0, 31482010000.0, 27541969000.0, 24847555000.0]",-0.25477707006369427
1757.T,2023-03-31,Real Estate,-0.81772562583395,"[299358000.0, -914978000.0, -1307896000.0, -455416000.0]",0.2784562393087661,0.19947651724041426,57566000.0,0.010597420573414172,31.03448275862069,0.7163657662532201,8.647924090030072,1.4332809352291709,-24814000.0,77971000.0,"[299358000.0, -914978000.0, -1307896000.0, -455416000.0]","[4300103000.0, 2848789000.0, 1329245000.0, 2270835000.0]",2.7777777777777777
1758.T,2023-01-31,Industrials,0.43157148480993446,"[613516000.0, 474025000.0, 435796000.0, 479989000.0]",0.07117627472977504,0.05040513663831236,191415000.0,-0.01686663148819484,7.3059158262389605,0.7081732899014238,0.17250394224478677,0.010935494609607382,254842000.0,466624000.0,"[613516000.0, 474025000.0, 435796000.0, 479989000.0]","[14709754000.0, 12933901000.0, 13308092000.0, 11853390000.0]",25.076918379021997
1762.T,2023-03-31,Industrials,0.19039822573009563,"[7534000000.0, 6727000000.0, 7467000000.0, 8698000000.0]",0.05897086679503436,0.03220167291409325,-6281000000.0,-0.04757252340749394,10.980682133284038,0.5460607019058569,0.6475441172216222,0.0035909375944086913,-31360000000.0,-930000000.0,"[7534000000.0, 6727000000.0, 7467000000.0, 8698000000.0]","[282495000000.0, 263907000000.0, 283080000000.0, 282366000000.0]",10.774410774410773
1764.T,2023-06-30,Industrials,0.27372790466282565,"[135898000.0, 121056000.0, 355715000.0, 410216000.0]",0.028882150801900597,0.00927300419529439,294003000.0,0.013592068386544857,21.665588316849988,0.3210634920819047,0.6631685269610026,0.0030071189807156715,245474000.0,587837000.0,"[135898000.0, 121056000.0, 355715000.0, 410216000.0]","[19579875000.0, 17009361000.0, 19801167000.0, 18650870000.0]",4.09556313993174
1766.T,2023-04-30,Real Estate,-0.4732306516962125,"[5239000000.0, 10275000000.0, 10080000000.0, 8606000000.0]",0.04544232320516268,0.026399729905416506,8950000000.0,0.0236390204797869,19.399538106235568,0.5809502693387217,0.8834174986338679,-0.04514776875149514,5306000000.0,9191000000.0,"[5239000000.0, 10275000000.0, 10080000000.0, 8606000000.0]","[316849000000.0, 311586000000.0, 309809000000.0, 323385000000.0]",1.455026455026455
1768.T,2023-03-31,Industrials,-0.08776891733245536,"[688848000.0, 800147000.0, 866791000.0, 539822000.0]",0.07964126929255663,0.05965832400370916,2136086000.0,0.10380068025453613,10.44649485629441,0.7490880611728886,0.8541069682989021,-0.018978237315954938,1647078000.0,2406115000.0,"[688848000.0, 800147000.0, 866791000.0, 539822000.0]","[18039718000.0, 17158961000.0, 16298974000.0, 15856688000.0]",-1.4213197969543148
1770.T,2023-03-31,Industrials,-0.09004864790874627,"[1275857000.0, 1372498000.0, 1179342000.0, 1131023000.0]",0.07758914218934274,0.04382101341131692,1321478000.0,0.042717869043067916,6.749301425807839,0.5647828056196239,0.6702482893659886,-0.010849771143875475,110268000.0,2124348000.0,"[1275857000.0, 1372498000.0, 1179342000.0, 1131023000.0]","[27164885000.0, 27708983000.0, 26250632000.0, 29087314000.0]",7.32484076433121
1773.T,2023-06-30,Utilities,1.2307144322540267,"[1095699000.0, 545394000.0, -367664000.0, -189221000.0]",0.054476522993593325,0.013450700180353959,4670947000.0,0.08478288065421206,410.4104104104104,0.24690819900410713,22.46944864308985,0.023345420682446008,3118170000.0,7388703000.0,"[1095699000.0, 545394000.0, -367664000.0, -189221000.0]","[29616085000.0, 24241503000.0, 17270419000.0, 19178449000.0]",19.51219512195122
1775.T,2023-03-31,Industrials,0.0584338857476111,"[4536000000.0, 4607000000.0, 3902000000.0, 3678000000.0]",0.12070250133049494,0.06461538461538462,7711000000.0,0.08044581143810507,7.295363083083877,0.5353276353276353,0.8839208217136776,-0.016145857499150082,6634000000.0,8065000000.0,"[4536000000.0, 4607000000.0, 3902000000.0, 3678000000.0]","[88109000000.0, 82050000000.0, 74168000000.0, 81986000000.0]",10.326086956521738
1776.T,2023-03-31,Industrials,0.016803081257780714,"[630000000.0, 627000000.0, 1188000000.0, 1038000000.0]",0.04716981132075472,0.022368981678738815,2141000000.0,0.0421758475903992,13.043478260869565,0.47422241158926287,0.6251684636118598,-0.0011687901748894114,1050000000.0,2934000000.0,"[630000000.0, 627000000.0, 1188000000.0, 1038000000.0]","[31914000000.0, 31535000000.0, 33796000000.0, 33384000000.0]",5.777777777777778
